#shared-all-different-search 	 
#Threads 	 aaai10-planning-ipc5-pathways-13-step17 	 E02F22 	 grid-strips-grid-y-3.035-NOTKNOWN 	 hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin 	 hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin 	 md5_48_3 	 q_query_3_L150_coli.sat 	 slp-synthesis-aes-top30 	 traffic_b_unsat 	 UCG-15-10p1
1 	 2.78 	 0.89 	 30.93 	 0.14 	 0.32 	 1.11 	 25.14 	 0.1 	 15.04 	 0.33 	 14.33 	 0.2 	 34.54 	 0.34 	 13.17 	 0.25 	 3.97 	 3.52 	 22.55 	 0.62
2 	 5.81 	 1.96 	 40.16 	 2.72 	 0.32 	 1.39 	 34.09 	 0.57 	 26.76 	 1.29 	 23.47 	 0.33 	 36.56 	 2.85 	 18.31 	 0.22 	 14.61 	 0.34 	 34.83 	 1.79
3 	 12.3 	 1.85 	 48.7 	 3.12 	 0.65 	 4.21 	 41.78 	 0.26 	 36.24 	 0.31 	 32.22 	 0.32 	 50.4 	 1.33 	 26.32 	 0.18 	 28.37 	 0.5 	 42.76 	 2.83
4 	 16.51 	 1.39 	 52.77 	 1.92 	 0.86 	 4.41 	 48.3 	 0.31 	 41.88 	 0.14 	 36.99 	 0.12 	 55.97 	 0.53 	 31.73 	 0.42 	 37.49 	 0.38 	 49.59 	 2.14
5 	 22.58 	 0.17 	 57.34 	 1.58 	 1.08 	 3.99 	 52.63 	 0.23 	 46.57 	 0.42 	 41.81 	 0.23 	 61.19 	 0.7 	 37.39 	 0.33 	 46.34 	 0.23 	 51.56 	 1.66
6 	 29.01 	 1.34 	 60.4 	 2.19 	 1.38 	 7.67 	 55.96 	 0.26 	 50.58 	 0.31 	 45.74 	 0.15 	 63.56 	 0.47 	 42.09 	 0.2 	 53.76 	 0.12 	 55.15 	 0.52
