#shared-binaries-different-search 	 
#Threads 	 aaai10-planning-ipc5-pathways-13-step17 	 E02F22 	 grid-strips-grid-y-3.035-NOTKNOWN 	 hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin 	 hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin 	 md5_48_3 	 q_query_3_L150_coli.sat 	 slp-synthesis-aes-top30 	 traffic_b_unsat 	 UCG-15-10p1
1 	 2.87 	 1.38 	 26.77 	 0.24 	 0.19 	 8.51 	 25.29 	 0.61 	 14.05 	 0.62 	 13.35 	 0.28 	 35.76 	 0.12 	 12.18 	 0.17 	 4.27 	 1.76 	 20.73 	 0.74
2 	 6.39 	 3.84 	 40.87 	 5.13 	 0.66 	 4.31 	 34.51 	 0.37 	 26.04 	 0.93 	 22.95 	 2.83 	 42.98 	 1.24 	 17.84 	 0.84 	 16.74 	 1.23 	 31.69 	 3.03
3 	 13.87 	 2.74 	 47.52 	 3.4 	 0.87 	 1.41 	 42.07 	 0.54 	 35.85 	 0.7 	 31.99 	 0.17 	 52.76 	 1.49 	 26.18 	 0.51 	 31.36 	 0.2 	 40.88 	 2.44
4 	 17.77 	 3.04 	 54.67 	 1.51 	 1.0 	 3.89 	 48.33 	 0.19 	 40.9 	 1.33 	 37.0 	 0.25 	 57.94 	 0.28 	 32.08 	 0.23 	 41.68 	 0.16 	 46.21 	 1.95
5 	 25.49 	 1.08 	 58.88 	 2.34 	 1.14 	 3.39 	 53.3 	 0.12 	 46.74 	 0.22 	 41.82 	 2.14 	 62.28 	 0.79 	 37.82 	 0.35 	 51.37 	 0.07 	 53.5 	 0.8
6 	 31.22 	 1.49 	 62.33 	 1.92 	 1.42 	 2.25 	 56.82 	 0.33 	 49.76 	 0.48 	 46.11 	 0.09 	 66.84 	 0.33 	 42.89 	 0.29 	 58.7 	 0.05 	 55.49 	 0.6
