#shared-none-same-search
#Threads 	 manol-pipe-c10b 	 manol-pipe-c6bid_i 	 manol-pipe-c6nidw_i 	 manol-pipe-c7idw 	 manol-pipe-cha05-113 	 anbul-dated-5-15-u 	 ibm-2002-31_1r3-k30 	 post-c32s-gcdm16-22
1 	 2.62 	 2.35 	 11.8 	 0.32 	 13.17 	 0.19 	 13.67 	 0.55 	 1.84 	 2.31 	 8.6 	 0.58 	 13.24 	 1.24 	 13.85 	 0.67
2 	 15.73 	 0.64 	 27.21 	 0.14 	 28.97 	 0.11 	 30.07 	 0.07 	 13.18 	 1.11 	 28.45 	 0.17 	 28.69 	 0.25 	 27.45 	 0.19
3 	 27.25 	 0.13 	 37.46 	 0.11 	 39.28 	 0.08 	 38.74 	 0.1 	 23.23 	 0.62 	 42.89 	 0.08 	 39.9 	 0.05 	 37.1 	 0.05
4 	 36.39 	 0.17 	 44.8 	 0.06 	 46.46 	 0.04 	 44.59 	 0.06 	 31.76 	 0.29 	 52.29 	 0.07 	 48.04 	 0.02 	 43.86 	 0.08
5 	 43.25 	 0.07 	 50.26 	 0.03 	 52.12 	 0.08 	 49.02 	 0.04 	 38.65 	 0.11 	 58.9 	 0.03 	 53.67 	 0.09 	 49.05 	 0.07
6 	 48.76 	 0.04 	 54.7 	 0.03 	 56.34 	 0.04 	 52.65 	 0.07 	 44.38 	 0.04 	 63.16 	 0.02 	 57.77 	 0.03 	 53.02 	 0.04
