#shared-all
#Threads 	 manol-pipe-c10b 	 manol-pipe-c6bid_i 	 manol-pipe-c6nidw_i 	 manol-pipe-c7idw 	 manol-pipe-cha05-113 	 anbul-dated-5-15-u 	 ibm-2002-31_1r3-k30 	 post-c32s-gcdm16-22
1 	 3.4 	 4.83 	 12.07 	 0.38 	 13.45 	 0.25 	 15.3 	 0.41 	 2.45 	 5.96 	 6.46 	 9.08 	 11.82 	 2.45 	 13.22 	 0.29
2 	 9.6 	 8.23 	 17.94 	 7.11 	 19.45 	 6.43 	 22.35 	 6.24 	 8.54 	 0.76 	 15.0 	 9.14 	 23.29 	 0.79 	 19.81 	 9.03
3 	 15.35 	 5.12 	 21.12 	 0.12 	 22.61 	 0.08 	 22.88 	 0.07 	 12.96 	 8.2 	 28.9 	 7.91 	 25.09 	 4.1 	 27.34 	 3.22
4 	 17.7 	 5.32 	 25.66 	 3.21 	 26.39 	 0.07 	 25.22 	 0.05 	 15.27 	 5.89 	 33.85 	 3.83 	 31.68 	 4.84 	 30.98 	 1.84
5 	 21.17 	 4.41 	 28.32 	 0.96 	 29.51 	 0.08 	 27.18 	 0.06 	 16.78 	 2.44 	 37.93 	 1.97 	 31.93 	 3.1 	 30.67 	 3.59
6 	 29.24 	 2.52 	 43.27 	 1.27 	 43.67 	 1.76 	 36.35 	 4.5 	 24.2 	 2.79 	 49.21 	 1.67 	 42.49 	 2.06 	 39.51 	 1.52
