#shared-binaries-same-search
#Threads 	 manol-pipe-c10b 	 manol-pipe-c6bid_i 	 manol-pipe-c6nidw_i 	 manol-pipe-c7idw 	 manol-pipe-cha05-113 	 anbul-dated-5-15-u 	 ibm-2002-31_1r3-k30 	 post-c32s-gcdm16-22
1 	 3.51 	 4.97 	 12.5 	 0.2 	 14.0 	 0.59 	 14.79 	 0.41 	 2.39 	 4.24 	 8.94 	 0.62 	 13.01 	 0.3 	 13.84 	 0.13
2 	 13.5 	 2.86 	 23.99 	 2.59 	 26.21 	 2.33 	 24.57 	 3.7 	 10.57 	 1.4 	 27.7 	 0.13 	 28.25 	 0.17 	 25.4 	 2.74
3 	 20.97 	 3.57 	 32.62 	 2.02 	 35.42 	 1.36 	 30.8 	 3.28 	 17.36 	 1.75 	 41.11 	 0.26 	 39.05 	 0.08 	 34.38 	 0.82
4 	 27.46 	 2.87 	 38.62 	 1.24 	 41.23 	 2.45 	 35.76 	 2.47 	 23.71 	 0.99 	 50.22 	 0.1 	 47.06 	 0.05 	 41.17 	 0.28
5 	 31.19 	 1.7 	 43.27 	 2.73 	 44.13 	 0.63 	 34.35 	 1.64 	 27.09 	 1.23 	 55.78 	 0.23 	 52.42 	 0.28 	 44.04 	 0.98
6 	 38.63 	 0.85 	 49.03 	 0.48 	 50.34 	 0.51 	 41.98 	 1.98 	 34.56 	 0.46 	 60.97 	 0.09 	 56.34 	 0.25 	 47.65 	 0.94
