Threads 	 goldb-heqc-alu4mul 	 goldb-heqc-i8mul 	 ibm-2002-31_1r3-k30 	 ibm-2004-23-k80 	 manol-pipe-g10bid_i 	 post-c32s-gcdm16-22 	 schup-l2s-motst-2-k315 	 simon-s02-f2clk-50 
1	2.49	3.16	7.21	12.73	24.13	8.43	21.1	5.31
2	10.35	13.71	16.02	19.54	41.92	20.58	31.63	11.98
3	21.13	23.29	26.06	26.33	49.11	29.99	31.4	19.53
4	32.76	32.6	35.44	32.15	55.19	40.42	40.41	26.68
5	38.86	37.64	41.39	37.07	58.97	44.08	44.12	31.77
6	45.9	43.34	47.34	41.09	62.39	49.11	43.3	37.63
