Threads	anbul-dated-5-15-u	anbul-part-10-15-s	fuhs-aprove-16	goldb-heqc-alu4mul	goldb-heqc-i8mul	grieu-vmpc-s05-27r	ibm-2002-20r-k75	ibm-2002-24r3-k100	ibm-2002-31_1r3-k30	ibm-2004-23-k80	manol-pipe-c7idw	manol-pipe-c7idw	manol-pipe-g10bid_i	mizh-md5-47-4	mizh-sha0-36-4	narai-vpn-10s	post-c32s-gcdm16-22	schup-l2s-motst-2-k315	simon-s02b-r4b1k1.2	simon-s02-f2clk-50	velev-npe-1.0-9dlx-b71	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	-0.5	-0.6	-0	-0.1	-0.7	-0.1	-0.2	-0.2	-0.4	0.2	-0.7	-0.7	-0.2	-0.7	-0.5	-6.8	-0.6	-1	0.1	-0.5	-6.6	
3	-1.1	-0.8	-0.5	-0.4	-0.6	-0.7	-0.8	-0.8	-0.6	-0.2	-1.4	-1.2	-0.6	-0.9	-0.4	-11	-0.8	-2.3	-0.3	-0.4	-12.7	
4	-1.6	-0.9	-0.7	-0.8	-0.6	-0.7	-1.2	-0.9	-0.8	-0.7	-2.1	-2.1	-0.8	-1.2	-1.2	-16	-1.2	-3.5	-0.5	-0.9	-16.5	
