Threads 	 goldb-heqc-alu4mul 	 goldb-heqc-i8mul 	 ibm-2002-31_1r3-k30 	 ibm-2004-23-k80 	 manol-pipe-g10bid_i 	 post-c32s-gcdm16-22 	 schup-l2s-motst-2-k315 	 simon-s02-f2clk-50 
1	2.32	3.64	7.63	13.78	24.88	9.9	27.17	5.37
2	8.96	12.52	14.78	19.83	40.88	20.67	40.06	10.9
3	21.62	22.54	24.4	25.88	48.07	32.21	50.77	19.17
4	28.07	28.57	29.69	30.93	52.34	39.03	53.52	24.58
5	36.07	35.25	36.06	35.31	55.7	45.2	55.24	30.42
6	43.2	40.88	41.5	39.19	58.3	49.89	55.22	36.04
